,start_time_seconds,end_time_seconds,source,emission_rate
106,410426.0,430198.0,"['Tank', 'Separator.West', nan, 'Wellhead.West', 'Wellhead.East', 'Separator.East']","[0.3919860000000001, 0.3392928, -9.3258396, 0.2287656, 0.3187296, 0.3037356]"
107,430199.0,432024.0,"['Wellhead.West', 'Wellhead.East', 'Tank', 'Separator.East', nan, 'Separator.West']","[0.2274803999999999, 0.3251556, 0.3979836, 0.3118752000000001, -9.6912648, 0.3440052]"
108,432024.0,442828.0,[nan],[-9.6912648]
109,442828.0,446427.0,"['Separator.West', nan]","[0.334152, -9.6912648]"
110,446427.0,457230.0,[nan],[-9.6912648]
111,457230.0,460829.0,"['Wellhead.West', nan, 'Separator.West']","[0.5680584000000001, -9.6912648, 0.5714855999999999]"
112,460829.0,475233.0,[nan],[-9.6912648]
113,475233.0,475234.0,"['Separator.West', 'Wellhead.West', nan, 'Wellhead.East', 'Separator.East']","[0.3311532, 0.565488, -9.6912648, 0.1957788, 0.3050208000000001]"
114,475234.0,479618.0,"['Separator.West', 'Wellhead.West', nan, 'Separator.East', 'Tank', 'Wellhead.East']","[0.3311532, 0.565488, -9.6912648, 0.3050208000000001, 0.4254012, 0.1957788]"
115,479618.0,504032.0,"['Wellhead.East', 'Tank', 'Separator.East', 'Wellhead.West', 'Separator.West']","[0.1957788, 0.4254012, 0.3050208000000001, 0.565488, 0.3311532]"
116,504032.0,504033.0,"['Wellhead.West', 'Wellhead.East']","[0.565488, 0.1957788]"
117,516605.0,518434.0,[nan],[0.9030672]
118,518434.0,529233.0,"['Separator.West', nan, 'Wellhead.West']","[0.5727708, 0.9030672, 1.1763864000000002]"
119,529233.0,543637.0,[nan],[0.9030672]
120,543637.0,554436.0,"['Separator.West', nan]","[1.6352028000000003, 0.9030672]"
121,554436.0,568840.0,[nan],[0.9030672]
122,568840.0,576038.0,"['Wellhead.West', 'Separator.East', nan, 'Separator.West']","[1.640772, 0.7552692000000001, 0.9030672, 0.3294396]"
123,576038.0,576039.0,"[nan, 'Separator.West', 'Separator.East']","[0.9030672, 0.3294396, 0.7552692000000001]"
124,576039.0,583243.0,[nan],[0.9030672]
125,583243.0,583244.0,"['Tank', 'Separator.East', 'Wellhead.East', nan]","[1.902096, 0.2818872, 0.6036156000000001, 0.9030672]"
126,583244.0,590442.0,"['Separator.East', nan, 'Wellhead.East', 'Tank', 'Separator.West', 'Wellhead.West']","[0.2818872, 0.9030672, 0.6036156000000001, 1.902096, 1.9616436000000004, 2.6470836]"
127,590442.0,590443.0,"[nan, 'Wellhead.West', 'Tank', 'Wellhead.East']","[0.9030672, 2.6470836, 1.902096, 0.6036156000000001]"
128,590443.0,594760.0,[nan],[0.9030672]
129,594760.0,594770.0,"[nan, 'Separator.West']","[0.9030672, 0.1640772]"
130,594770.0,594778.0,[nan],[0.9030672]
131,594778.0,594847.0,"['Wellhead.West', nan]","[0.265608, 0.9030672]"
132,594847.0,594925.0,[nan],[0.9030672]
133,594925.0,595365.0,"['Wellhead.West', nan]","[0.46053, 0.9030672]"
134,595365.0,595366.0,"['Wellhead.West', 'Wellhead.West', nan]","[4.389814800000001, 0.46053, 0.9030672]"
135,595366.0,595501.0,"[nan, 'Wellhead.West']","[0.9030672, 4.389814800000001]"
136,595501.0,595502.0,[nan],[0.9030672]
137,595502.0,595520.0,"[nan, 'Wellhead.West']","[0.9030672, 4.5020556]"
138,595520.0,595521.0,[nan],[0.9030672]
139,595521.0,595550.0,"['Wellhead.West', nan]","[2.6783568000000004, 0.9030672]"
140,595550.0,595564.0,[nan],[0.9030672]
141,595564.0,595809.0,"[nan, 'Wellhead.West']","[0.9030672, 0.6297480000000001]"
142,595809.0,595810.0,[nan],[0.9030672]
143,595810.0,595862.0,"[nan, 'Wellhead.West']","[0.9030672, 0.923202]"
144,595862.0,597102.0,[nan],[0.9030672]
145,597102.0,597103.0,"[nan, 'Wellhead.West']","[0.9030672, 3.324384]"
146,597103.0,597104.0,"['Wellhead.West', 'Wellhead.East', nan]","[3.324384, 2.2049748000000005, 0.9030672]"
147,597104.0,597105.0,"['Separator.East', 'Wellhead.West', nan, 'Wellhead.East']","[2.5845372, 3.324384, 0.9030672, 2.2049748000000005]"
148,597105.0,597322.0,"['Tank', 'Separator.West', 'Wellhead.East', 'Wellhead.West', 'Separator.East', nan]","[3.3556572, 2.9456784, 2.2049748000000005, 3.324384, 2.5845372, 0.9030672]"
149,597322.0,597324.0,"['Separator.West', 'Wellhead.East', 'Separator.East', nan, 'Tank']","[2.9456784, 2.2049748000000005, 2.5845372, 0.9030672, 3.3556572]"
150,597324.0,597379.0,"['Separator.West', 'Separator.East', nan, 'Tank']","[2.9456784, 2.5845372, 0.9030672, 3.3556572]"
151,597379.0,597395.0,"['Separator.East', nan, 'Tank']","[2.5845372, 0.9030672, 3.3556572]"
152,597395.0,597473.0,"['Tank', 'Separator.East', nan, 'Separator.West']","[3.3556572, 2.5845372, 0.9030672, 2.9700972]"
153,597473.0,597523.0,"['Separator.East', 'Tank', nan]","[2.5845372, 3.3556572, 0.9030672]"
154,597523.0,597559.0,"['Separator.East', 'Separator.West', nan, 'Tank']","[2.5845372, 2.98809, 0.9030672, 3.3556572]"
155,597559.0,597580.0,"[nan, 'Tank']","[0.9030672, 3.3556572]"
156,597580.0,597669.0,[nan],[0.9030672]
157,597669.0,598198.0,"['Separator.West', nan]","[0.5080824, 0.9030672]"
158,598198.0,598199.0,[nan],[0.9030672]
159,598199.0,598234.0,"[nan, 'Separator.West']","[0.9030672, 0.5102244]"
160,598234.0,598257.0,[nan],[0.9030672]
161,598257.0,598321.0,"['Separator.West', nan]","[0.6451704, 0.9030672]"
162,598321.0,598322.0,[nan],[0.9030672]
163,598322.0,598369.0,"['Separator.West', nan]","[0.9523332, 0.9030672]"
164,598369.0,598400.0,[nan],[0.9030672]
165,598400.0,598421.0,"['Separator.West', nan]","[1.7941392000000005, 0.9030672]"
166,598421.0,598422.0,[nan],[0.9030672]
167,598422.0,598465.0,"[nan, 'Separator.West']","[0.9030672, 1.8048492000000005]"
168,598465.0,598515.0,[nan],[0.9030672]
169,598515.0,598551.0,"[nan, 'Wellhead.East']","[0.9030672, 3.0322152]"
170,598551.0,598555.0,[nan],[0.9030672]
171,598555.0,598605.0,"[nan, 'Wellhead.East']","[0.9030672, 1.891386]"
172,598605.0,598621.0,[nan],[0.9030672]
173,598621.0,598728.0,"['Wellhead.East', nan]","[0.9197748, 0.9030672]"
174,598728.0,598729.0,[nan],[0.9030672]
175,598729.0,598747.0,"['Wellhead.East', nan]","[0.9214884000000002, 0.9030672]"
176,598747.0,598757.0,[nan],[0.9030672]
177,598757.0,598825.0,"['Wellhead.East', nan]","[0.4798080000000001, 0.9030672]"
178,598825.0,598826.0,[nan],[0.9030672]
179,598826.0,598922.0,"[nan, 'Wellhead.East']","[0.9030672, 0.4815216]"
180,598922.0,598950.0,[nan],[0.9030672]
181,598950.0,598979.0,"[nan, 'Separator.East']","[0.9030672, 3.0467808000000005]"
182,598979.0,598980.0,[nan],[0.9030672]
183,598980.0,599003.0,"[nan, 'Separator.East']","[0.9030672, 2.8818468000000004]"
184,599003.0,599013.0,[nan],[0.9030672]
185,599013.0,599047.0,"[nan, 'Separator.East']","[0.9030672, 0.8045352000000001]"
186,599047.0,599048.0,[nan],[0.9030672]
187,599048.0,599076.0,"[nan, 'Separator.East']","[0.9030672, 0.8315244]"
188,599076.0,599077.0,[nan],[0.9030672]
189,599077.0,599231.0,"[nan, 'Separator.East']","[0.9030672, 0.8662247999999999]"
190,599231.0,599239.0,[nan],[0.9030672]
191,599239.0,599362.0,"['Separator.East', nan]","[0.4515336, 0.9030672]"
192,599362.0,599366.0,[nan],[0.9030672]
193,599366.0,599396.0,"['Separator.East', nan]","[0.8760780000000001, 0.9030672]"
194,599396.0,599399.0,[nan],[0.9030672]
195,603005.0,613803.0,['Tank'],[1.4171472]
196,621005.0,624604.0,"['Separator.West', 'Separator.East']","[0.8422344, 0.6657336]"
197,628206.0,646205.0,"['Separator.West', 'Wellhead.East', 'Separator.East']","[0.5059404000000001, 0.5736276, 0.5706288]"
198,653407.0,657006.0,['Wellhead.West'],[2.6762148000000003]
199,664208.0,671407.0,['Tank'],[2.8745640000000003]
200,682210.0,689401.0,"['Wellhead.West', 'Separator.West', 'Wellhead.East', 'Separator.East']","[0.6717312000000001, 0.4588164, 0.3247272, 0.4198320000000001]"
201,689401.0,696608.0,"['Separator.East', 'Wellhead.East', 'Separator.West', 'Wellhead.West']","[0.4373964000000001, 0.3324384000000001, 0.4768092, 0.670446]"
202,696608.0,696609.0,"['Separator.West', 'Separator.East', 'Wellhead.West']","[0.4768092, 0.4373964000000001, 0.670446]"
203,700212.0,707410.0,"['Separator.West', 'Wellhead.East']","[0.4810932, 0.5616324]"
204,707410.0,707411.0,['Separator.West'],[0.4810932]
205,711014.0,721813.0,"['Separator.East', 'Separator.West']","[0.5693436000000001, 0.5911920000000002]"
206,729015.0,729016.0,['Tank'],[1.4184324]
207,729016.0,754214.0,"['Tank', 'Separator.West']","[1.4184324, 1.8224136000000004]"
208,768618.0,775800.0,['Tank'],[1.4004396]
209,775800.0,779417.0,['Tank'],[1.4150052]
210,801020.0,804619.0,['Separator.West'],[0.8422344]
211,815421.0,829820.0,['Tank'],[1.4248583999999995]
212,837023.0,851421.0,"['Tank', 'Separator.West']","[2.1514248, 1.794996]"
213,851421.0,851422.0,['Tank'],[2.1514248]
214,862224.0,862225.0,['Separator.West'],[0.3701376]
215,862225.0,869423.0,"['Wellhead.East', 'Wellhead.West', 'Separator.West']","[0.3392928, 0.6588792000000001, 0.3701376]"
216,869423.0,869424.0,['Wellhead.East'],[0.3392928]
217,873027.0,887425.0,['Separator.West'],[0.6880104]
218,891028.0,891029.0,['Separator.East'],[0.7784028000000001]
219,891029.0,916227.0,"['Wellhead.East', 'Separator.East']","[0.8585136, 0.7784028000000001]"
220,923429.0,934229.0,['Separator.West'],[1.84212]
221,948631.0,970230.0,"['Separator.West', 'Separator.East', 'Wellhead.West']","[0.6027588, 0.3782772, 0.6588792000000001]"
222,981032.0,991831.0,['Separator.West'],[0.873936]
223,1006234.0,1020633.0,['Separator.East'],[1.9453644]
224,1035036.0,1042235.0,['Separator.East'],[1.1699604]
225,1053037.0,1053038.0,"['Wellhead.West', 'Wellhead.East']","[0.6610212, 0.3538584]"
226,1053038.0,1060236.0,"['Wellhead.East', 'Separator.West', 'Separator.East', 'Wellhead.West']","[0.3538584, 0.387702, 0.3782772, 0.6610212]"
227,1060236.0,1060237.0,"['Wellhead.East', 'Separator.East', 'Wellhead.West']","[0.3538584, 0.3782772, 0.6610212]"
228,1063839.0,1063840.0,['Separator.West'],[0.7252812]
