,start_time_seconds,end_time_seconds,source,emission_rate,duration,num_active_sources,contains_na,prediction_correct,prediction
661,5038227.0,5060426.0,"['Wellhead.West', 'Tank']","[0.7437024, 0.0912492]",22199.0,2,False,True,['Tank' 'Wellhead.West']
665,5096134.0,5106393.0,"['Separator.West', 'Tank']","[0.29988, 0.0886788]",10259.0,2,False,False,['Separator.East' 'Separator.West']
667,5109997.0,5113835.0,"['Separator.East', 'Wellhead.West']","[0.2900268, 0.4815216]",3838.0,2,False,True,['Separator.East' 'Wellhead.West']
672,5165145.0,5172344.0,"['Separator.East', 'Separator.West']","[1.3841604000000003, 1.5036840000000002]",7199.0,2,False,True,['Separator.East' 'Separator.West']
677,5187651.0,5200249.0,"['Separator.West', 'Tank']","[0.2737476, 0.0886788]",12598.0,2,False,False,['Separator.West' 'Wellhead.West']
679,5203854.0,5226352.0,"['Separator.West', 'Tank']","[0.28917, 0.0908208]",22498.0,2,False,True,['Separator.West' 'Tank']
684,5441401.0,5457604.0,"['Separator.West', 'Separator.East']","[0.6271776, 0.6181812]",16203.0,2,False,True,['Separator.East' 'Separator.West']
687,5475008.0,5496907.0,"['Separator.East', 'Tank']","[0.2219112, 0.0933912]",21899.0,2,False,False,['Separator.East' 'Separator.West']
691,5530213.0,5542212.0,"['Wellhead.West', 'Separator.East']","[1.0255896, 0.6143256000000001]",11999.0,2,False,False,['Tank' 'Wellhead.West']
692,5549416.0,5575816.0,"['Tank', 'Separator.East']","[0.0916776, 0.2660364]",26400.0,2,False,True,['Separator.East' 'Tank']
703,5722239.0,5741437.0,"['Wellhead.East', 'Separator.East']","[0.6665904, 0.7968668400000001]",19198.0,2,False,True,['Separator.East' 'Wellhead.East']
707,5758845.0,5775944.0,"['Wellhead.West', 'Wellhead.East']","[2.4965010000000003, 1.3018647600000002]",17099.0,2,False,True,['Wellhead.East' 'Wellhead.West']
709,5783148.0,5787002.0,"['Wellhead.East', 'Separator.West']","[0.6022875599999999, 0.51510816]",3854.0,2,False,True,['Separator.West' 'Wellhead.East']
